Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
sāyita 2	s	nt	act, pp	sāyati					tasting; savouring			√sāy 1 a (to taste)		√sāy + ita	svādita	√svad							MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite <b>sāyite</b> sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	sāyit	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sāyita 2"">feedback</a>"	Anupubba-sikkhā
uccāra	ps	masc		cāra					excrement; dung; faeces			√car 1 a (to move, walk)		ud + √car + *a	uccāra	√car				VIN PAT SK 73	ṭhitouccāra sikkhāpada	na ṭhito agilāno <b>uccāraṃ</b> vā passāvaṃ vā karissāmī'ti sikkhā karaṇīyā.	MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, <b>uccāra</b>-passāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	uccār	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uccāra"">feedback</a>"	Anupubba-sikkhā
uccārapassāva	s	masc	comp						excrement and urine			√car & √su		uccāra + passāva									MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, <b>uccārapassāva</b>-kamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	uccārapassāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uccārapassāva"">feedback</a>"	Anupubba-sikkhā
uccārapassāvakamma	s	nt	comp						going to the toilet; lit. making excrement and urine			√car & √su & kar		uccāra + passāva + kamma	uccāraprasrāva + karman								MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, <b>uccārapassāvakamme</b> sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	uccārapassāvakamm	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uccārapassāvakamma"">feedback</a>"	Anupubba-sikkhā
passāva	ps	masc		passavati					urine; lit. flowing out			√su 1 a (to flow)		pa + √su > sav + *a	prasrāva	√sru				VIN PAT SK 73	ṭhitouccāra sikkhāpada	na ṭhito agilāno uccāraṃ vā <b>passāvaṃ</b> vā karissāmī'ti sikkhā karaṇīyā.	MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccāra-<b>passāva</b>-kamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	passāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=passāva"">feedback</a>"	Anupubba-sikkhā
ṭhita 4	s	nt	act, pp	tiṭṭhati					standing			√ṭhā 1 a (to stand)		√ṭhā + ita	sthita	√sthā							MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate <b>ṭhite</b> nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ṭhit	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ṭhita 4"">feedback</a>"	Anupubba-sikkhā
nisinna 2	s	nt	act, pp	nisīdati					seating			√sad 1 a (to sink, sit, settle)		ni + √sad > sīd + na	niṣanna	√sad							MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite <b>nisinne</b> sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	nisinn	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nisinna 2"">feedback</a>"	Anupubba-sikkhā
sutta 4	s	nt	act, pp	supati					lying down; sleeping			√sup 1 a (to lie down, sleep)		√sup + ta	svapna	√svap							MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne <b>sutte</b> jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	sutt	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sutta 4"">feedback</a>"	Anupubba-sikkhā
jāgarita	s	nt	act, pp	jāgarti					being awake			√jāgar 1 a (to be awake, watchful)		√jāgar + ita	jāgarita	√jāgṛ							MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte <b>jāgarite</b> bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	jāgarit	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=jāgarita"">feedback</a>"	Anupubba-sikkhā
bhāsita 2	s	nt	act, pp	bhāsati					speaking; talking; saying			√bhās 1 a (to speak)		√bhās + ita	bhāṣita	√bhāṣ							MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite <b>bhāsite</b> tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	bhāsit	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhāsita 2"">feedback</a>"	Anupubba-sikkhā
tuṇhī	ps	ind	adv	tuṇhī					silent; silently						tūṣṇīṃ					UD 45	uposathasuttaṃ	dutiyam’pi kho bhagavā <b>tuṇhī</b> ahosi.	MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite <b>tuṇhī</b>-bhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tuṇhī"">feedback</a>"	Anupubba-sikkhā
tuṇhībhāva	ps	masc	abstr, comp	tuṇhībhavati					silence; keeping quiet; lit. being silent					tuṇhī + bhāva	tūṣṇīṃbhāva					VIN PAT NID	nidānuddeso	yassa siyā āpatti so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ. <b>tuṇhībhāvena</b> kho pan'āyasmante `parisuddhā'ti vedissāmi.	MN 107	gaṇakamoggallānasuttaṃ	asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite <b>tuṇhībhāve</b> sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	tuṇhībhāv	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tuṇhībhāva"">feedback</a>"	Anupubba-sikkhā
iṇa	ps	nt							debt; loan						ṛṇa					AN 6.45	iṇasuttaṃ	yam’pi, bhikkhave, daliddo assako anāḷhiko <b>iṇaṃ</b> ādiyitvā vaḍḍhiṃ paṭissuṇāti, vaḍḍhi’pi, bhikkhave, dukkhā lokasmiṃ kāmabhogino”ti?	MN 39	mahāassapurasuttaṃ	bhikkhu yathā <b>iṇaṃ</b> yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	iṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=iṇa"">feedback</a>"	Anupubba-sikkhā
roga	ps	masc							disease; illness			√ruj 1 a (to hurt, be painful)		√ruj > rog + *a	rujā	√ruj				SN 35.248	yavakalāpisuttaṃ	maññitaṃ, bhikkhave, <b>rogo</b>, maññitaṃ gaṇḍo, maññitaṃ sallaṃ. tasmā’t’iha, bhikkhave, ‘amaññamānena cetasā viharissāmā’ti — evañ’hi vo, bhikkhave, sikkhitabbaṃ.	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā <b>rogaṃ</b> yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	rog	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=roga"">feedback</a>"	Anupubba-sikkhā
bandhana 2	ps	nt	act	bandhati					bondage; imprisonment; binding			√bandh 1 a (to bind, tie)		√bandh + ana	bandhana	√badh				MN 19	dvedhāvitakkasuttaṃ	taṃ kissa hetu? passati hi so, bhikkhave, gopālako tatonidānaṃ vadhaṃ vā <b>bandhanaṃ</b> vā jāniṃ vā garahaṃ vā.	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā <b>bandhan’</b>āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	bandhan	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bandhana 2"">feedback</a>"	Anupubba-sikkhā
bandhanāgāra	s	nt	comp						prison; jail			√bandh &		bandhana + agāra	bandhana + agāra								MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā <b>bandhan’āgāraṃ</b> yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	bandhanāgār	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bandhanāgāra"">feedback</a>"	Anupubba-sikkhā
dāsabya	s	nt	abstr	dāsavya					state of slavery; servitude					dāsa + vya	dāsya								MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā <b>dāsabyaṃ</b> yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	dāsaby	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dāsabya"">feedback</a>"	Anupubba-sikkhā
kantāra	ps	masc		tara					desert; waste land; lit. difficult to cross			√tar 1 a (to cross)		kad + √tar + *a	kāntāra	√tṝ				MN 2.2	sabbāsavasuttaṃ	diṭṭhi-gataṃ diṭṭhigahanaṃ diṭṭhi-<b>kantāraṃ</b> diṭṭhi-visūkaṃ diṭṭhi-vipphanditaṃ diṭṭhi-saṃyojanaṃ;	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā <b>kantār</b>’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	kantār	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kantāra"">feedback</a>"	Anupubba-sikkhā
kantāraddhānamagga	s	masc	comp						long journey on a desert road					kantāra + addhāna + magga	kāntāra + adhvan + mārga								MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā <b>kantār’addhānamaggaṃ</b>, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	kantāraddhānamagg	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kantāraddhānamagga"">feedback</a>"	Anupubba-sikkhā
addhāna 2	s	nt		addhā					(long) journey; distance					addhā + na	adhvāna								MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’<b>addhāna</b>-maggaṃ, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	addhān	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=addhāna 2"">feedback</a>"	Anupubba-sikkhā
addhānamagga	ps	masc	comp						a long path; high road			& √magg		addhāna + magga	adhvāna + mārga					MN 22	alagaddūpamasuttaṃ	seyyathā’pi, bhikkhave, puriso <b>addhānamagga</b>-ppaṭipanno. so passeyya mahantaṃ udaka-aṇṇavaṃ, orimaṃ tīraṃ sāsaṅkaṃ sappaṭibhayaṃ, pārimaṃ tīraṃ khemaṃ appaṭibhayaṃ.	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’<b>addhānamaggaṃ</b>, ime pañca nīvaraṇe appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	addhānamagg	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=addhānamagga"">feedback</a>"	Anupubba-sikkhā
nīvaraṇa	s	masc		nivāreti					obstacle; hindrance; obstruction; barrier			√var 8 *e (to block, obstruct)		ni + √var + *aṇa	nivāraṇa; vṛṇoti	√vṛ							MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca <b>nīvaraṇe</b> appahīne attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	nīvaraṇ	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nīvaraṇa"">feedback</a>"	Anupubba-sikkhā
appahīna	ps	pp		na apajahati	neg				not removed; not given up; not renounced			√hā 1 a (to abandon)		na + pa + √hā > hī + na	na + prajahita	√hā				MN 40	cūḷaassapurasuttaṃ	yassa kassaci, bhikkhave, bhikkhuno abhijjhālussa abhijjhā <b>appahīnā</b> hoti, byāpannacittassa byāpādo <b>appahīno</b> hoti	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe <b>appahīne</b> attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	appahīn	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=appahīna"">feedback</a>"	Anupubba-sikkhā
attani 1	ps	masc	loc sg, atta group	atta					in oneself; for oneself			√as 1 a (to be)		atta + ni	ātmani	√as				SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	pakappitā saṅkhatā yassa dhammā, purakkhatā santi avīvadātā,<br/>yad'<b>attani</b> passati ānisaṃsaṃ, taṃ nissito kuppapaṭicca santiṃ.	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne <b>attani</b> samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!att	a2 masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attani 1"">feedback</a>"	Anupubba-sikkhā
samanupassati	ps	pr					trans	+acc	sees; regards; considers			√dis 1 a (to see)	√dis + a > passa (irreg)	saṃ + anu + passa + ti	samanupaśyati	√dṛś				SN 22.1	nakulapitusuttaṃ	na rūpaṃ attato <b>samanupassati</b>, na rūpavantaṃ vā attānaṃ; na attani vā rūpaṃ, na rūpasmiṃ vā attānaṃ. ‘ahaṃ rūpaṃ, mama rūpan’ti na pariyuṭṭhaṭṭhāyī hoti. 	MN 39	mahāassapurasuttaṃ	bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan’āgāraṃ yathā dāsabyaṃ yathā kantār’addhānamaggaṃ, ime pañca nīvaraṇe appahīne attani <b>samanupassati</b>	Anupubba-sikkhā	The Gradual Training	Teachings							18n	samanupass	ati pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samanupassati"">feedback</a>"	Anupubba-sikkhā
padosa	s	masc							anger; hatred; aversion			√dus 3 ya (to hate, dislike)		pa + √dus > dos + *a	pradveṣa	√dviṣ							MN 107	gaṇakamoggallānasuttaṃ	byāpāda-<b>padosaṃ</b> pahāya abyāpannacitto viharati sabbapāṇabhūtahit’ānukampī<b>, </b>byāpāda-<b>padosā</b> cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	pados	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=padosa"">feedback</a>"	Anupubba-sikkhā
abyāpannacitta	ps	adj	comp		neg				with kind mind; with a mind without ill-will; lit. not gone wrong			√pad & √cit		na + byāpanna + citta	avyāpannacitta					AN 10.51	sacittasuttaṃ	‘abhijjhālu vā anabhijjhālu nu kho bahulaṃ viharāmi? <br/>byāpanna-citto vā <b>abyāpannacitto</b> nu kho bahulaṃ viharāmi?	MN 107	gaṇakamoggallānasuttaṃ	byāpādapadosaṃ pahāya <b>abyāpannacitto</b> viharati sabbapāṇabhūtahit’ānukampī<b>, </b>byāpādapadosā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	abyāpannacitt	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abyāpannacitta"">feedback</a>"	Anupubba-sikkhā
sabbapāṇabhūtahitānukampī	ss	adj	comp						compassionate for the well-being of all living beings					sabba + pāṇa + bhūta + hita + anukampī	sarva + prāṇa + bhūta + hita + anukampin								MN 107	gaṇakamoggallānasuttaṃ	byāpādapadosaṃ pahāya abyāpannacitto viharati <b>sabbapāṇabhūtahit’ānukampī, </b>byāpādapadosā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings	MN 51	kandarakasuttaṃ	nihita-daṇḍo nihita-sattho, lajjī day’āpanno <b>sabbapāṇabhūtahit’ānukampī</b> viharati.	Anupubba-sikkhā	The Gradual Training	Teachings	18n	sabbapāṇabhūtahitānukamp	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sabbapāṇabhūtahitānukampī"">feedback</a>"	Anupubba-sikkhā Anupubba-sikkhā
hita 3	ps	nt		dahati					welfare; good; benefit; blessing			√dhā 1 a (to place, support)		√dhā > (da)h + ita	hita	√dhā				AN 3.66	kesamuttisuttaṃ	yadā tumhe attanā’va jāneyyātha — ‘ime dhammā kusalā, ime dhammā anavajjā, ime dhammā viññuppasatthā, ime dhammā samattā samādinnā <b>hitāya</b> sukhāya saṃvattantī’ti, atha tumhe upasampajja vihareyyātha.	MN 107	gaṇakamoggallānasuttaṃ	byāpādapadosaṃ pahāya abyāpannacitto viharati sabbapāṇabhūta-<b>hit’</b>ānukampī<b>, </b>byāpādapadosā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	hit	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hita 3"">feedback</a>"	Anupubba-sikkhā
hitānukampī	ps	adj	comp						compassionate for the welfare of; concerned for the good of					hita + anukampī	hita + anukampin					MN 21	kakacūpamasuttaṃ	‘na c’eva no cittaṃ vipariṇataṃ bhavissati, na ca pāpikaṃ vācaṃ nicchāressāma, <b>hit’ānukampī</b> ca viharissāma metta-cittā na dos’antarā.	MN 107	gaṇakamoggallānasuttaṃ	byāpādapadosaṃ pahāya abyāpannacitto viharati sabbapāṇabhūta-<b>hit’ānukampī, </b>byāpādapadosā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	hitānukamp	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hitānukampī"">feedback</a>"	Anupubba-sikkhā
anukampī	ps	adj		anukampati					compassionate; lit. shake together			√kamp 1 a (to shake, tremble)		anu + √kamp + ī	anukampin	√kṛp				AN 8.1	mettāsuttaṃ	ekam’pi ce pāṇam’aduṭṭhacitto, mettāyati kusalī tena hoti. <br/>sabbe ca pāṇe manas’<b>ānukampī</b>, pahūtam’ariyo pakaroti puññaṃ.	MN 107	gaṇakamoggallānasuttaṃ	byāpādapadosaṃ pahāya abyāpannacitto viharati sabbapāṇabhūtahit’<b>ānukampī, </b>byāpādapadosā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	anukamp	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anukampī"">feedback</a>"	Anupubba-sikkhā
pahiṇa	s	nt	in comps	pahiṇāti					errand; lit. sent			√hi 4 ṇā (to sent)	√hi + ṇā > hiṇā	pa + hiṇā + a	prahita	√hi							MN 51	kandarakasuttaṃ	dūteyya-<b>pahiṇa</b>-gamana-anuyogā paṭivirato hoti, kayavikkayā paṭivirato hoti, tulākūṭa-kaṃsakūṭa-mānakūṭā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	pahiṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pahiṇa"">feedback</a>"	Anupubba-sikkhā
pahiṇagamana	s	nt	comp						going on errands; running errands					pahiṇa + gamana	prahitaṃgama			(MNa) pahiṇagamanaṃ vuccati gharā gharaṃ pesitassa khuddakagamanaṃ.					MN 51	kandarakasuttaṃ	dūteyya-<b>pahiṇagamana</b>-anuyogā paṭivirato hoti, kayavikkayā paṭivirato hoti, tulākūṭa-kaṃsakūṭa-mānakūṭā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	pahiṇagaman	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pahiṇagamana"">feedback</a>"	Anupubba-sikkhā
