Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
etta 1	p	adj		ima					so much; this much					ima + tta	etāvat					DHP 196	buddhavaggo	te tādise pūjayato, nibbute akutobhaye,<br/>na sakkā puññaṃ saṅkhātuṃ, im'<b>ettam</b>'api kenaci.														ett	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=etta 1"">feedback</a>"
edhati	p	pr					intrans		thrives; flourishes; prospers			√edh 1 a (to flourish, prosper)	√edha + a > edha	edha + ti	edhate	√edh				DHP 193	buddhavaggo	dullabho puris'ājañño, na so sabbattha jāyati,<br/>yattha so jāyati dhīro, taṃ kulaṃ sukham<b>'edhati</b>.														edh	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=edhati"">feedback</a>"
enaṃ	ps	pron	masc fem & nt acc sg	eta					him; her; this one (object)						etam					DHP 118	pāpavaggo	puññañ’ce puriso kayirā,  kayirāth’<b>enaṃ</b> punappunaṃ.<br/>tamhi chandaṃ kayirātha, sukho puññassa uccayo. 	MN 107	gaṇakamoggallānasuttaṃ	yatv’ādhikaraṇam’<b>enaṃ</b> cakkhu’ndriyaṃ asaṃvutaṃ viharantaṃ abhijjhādomanassā pāpakā akusalā dhammā anvāssaveyyuṃ, tassa saṃvarāya paṭipajjāhi	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!	eta	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=enaṃ"">feedback</a>"
ereti	p	pr		īrati		caus	trans	+acc	agitates; arouses; lit. causes to move			√īr 1 *e (to move, shake)	√īr + *e > ere (caus)	ere + ti	īrayati	√īr				DHP 134	daṇḍavaggo	sace na-<b>eresi</b> attānaṃ, kaṃso upahato yathā,<br/>esa patto'si nibbānaṃ, sārambho te na vijjati.														er	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ereti"">feedback</a>"
esāna	p	prp		esati			trans	+acc	seeking (for); searching (for)			√es 1 a (to seek, search)	√es + a > esa	esa + āna	iṣ	√iṣ				DHP 131	daṇḍavaggo	sukhakāmāni bhūtāni, yo daṇḍena vihiṃsati,<br/>attano sukham'<b>esāno</b>, pecca so na labhate sukhaṃ.														es	āna prp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=esāna"">feedback</a>"
essati	ps	fut		eti			trans	+acc	will go (to); will come (to); will reach			√i 1 a (to come, go)	√i + *a > e	e + ssa + ti	eṣyati	√i				DHP 369	bhikkhuvaggo	siñca bhikkhu imaṃ nāvaṃ, sittā te lahum'<b>essati</b>,<br/>chetvā rāgañ'ca dosañ'ca, tato nibbānam'ehisi.	DHP 86	paṇḍitavaggo	ye ca kho sammad-akkhāte, dhamme dhamm’ānuvattino, <br/>te janā pāram’<b>essanti</b>, maccudheyyaṃ suduttaraṃ.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	!*	eti pr 2	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=essati"">feedback</a>"
ehisi	p	fut	2nd sg	ehiti			trans	+acc	you will go (to); you will come (to)			√i 1 a (to come, go)	√i + a + ssa > ehi (fut, irreg)	ehi + si	eṣyasi	√i				DHP 369	bhikkhuvaggo	siñca bhikkhu imaṃ nāvaṃ, sittā te lahum'essati,<br/>chetvā rāgañ'ca dosañ'ca, tato nibbānam'<b>ehisi</b>.														!*	eti pr 2	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ehisi"">feedback</a>"
okamokata	p	sandhi	nt + nt (abl)						from (its) home in the water; lit. from water home; (or) from all homes					okaṃ + okato > okata	udaka + oka				Sanskrit Udānavarga 31 (Cittavarga) has okād oghāt, which is abl sg of oka + ogha “from home from stream”. Pāli equivalent would be okamoghato.	DHP 34	cittavaggo	vārijo'va thale khitto, <b>okam'okata</b>'ubbhato,<br/>pariphandat'idaṃ cittaṃ, māradheyyaṃ pahātave.														!	oka	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=okamokata"">feedback</a>"
oka 1	ps	masc							home; abode			√uc 3 ya (to comfort)		√uc > ok + *a	oka, okas	√uc				DHP 91	arahantavaggo	uyyuñjanti satīmanto, na nikete ramanti te, <br/>haṃsā’va pallalaṃ hitvā,<b> okam</b>’okaṃ jahanti te.	DHP 87	paṇḍitavaggo	kaṇhaṃ dhammaṃ vippahāya, sukkaṃ bhāvetha paṇḍito, <br/><b>okā</b> anokam’āgamma, viveke yattha dūramaṃ.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	ok	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=oka 1"">feedback</a>"
oghatiṇṇa	p	adj	comp						who has crossed over the flood					ogha + tiṇṇa	ogha + tīrṇa			(THa) kām'ogho, bhav'ogho, diṭṭh'ogho, avijj'ogho'ti catunnaṃ oghānaṃ tiṇṇattā oghatiṇṇo'ti vuccati.		DHP 370	bhikkhuvaggo	pañca chinde pañca jahe, pañca c'uttari bhāvaye,<br/>pañca saṅg'ātigo bhikkhu, <b>oghatiṇṇo</b>'ti vuccati.														oghatiṇṇ	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=oghatiṇṇa"">feedback</a>"
ogha 1	pp	masc		ogāhati					(of water) flood; deluge; torrent			√gāh 1 a (to plunge, immerse)		ava + √gāh + a	ogha, augha	√gāh				DHP 25	appamādavaggo	uṭṭhānen’appamādena, saṃyamena damena ca, <br/>dīpaṃ kayirātha medhāvī, yaṃ <b>ogho</b> n’ābhikīrati.	DHP 47	pupphavaggo	pupphāni h'eva pacinantaṃ, byāsattamanasaṃ naraṃ,<br/>suttaṃ gāmaṃ mah'<b>ogho</b>'va, maccu ādāya gacchati.											ogh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ogha 1"">feedback</a>"
otthata	p	pp		avatharati					covered; spread over			√thar 1 a (to spread, expand)		ava + √thar + ta	avastīrṇa	√stṛ √stṝ				DHP 162	attavaggo	yassa accantadussīlyaṃ, māluvā sālam'iv'<b>otthataṃ</b>,<br/>karoti so tath'attānaṃ, yathā naṃ icchatī diso.														otthat	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=otthata"">feedback</a>"
opunāti	p	pr					trans	+acc	sifts through; winnows; sieves; lit. clearns down			√pu 5 nā (to purify, cleanse)	√pu + nā > punā	ava + punā + ti		√pū				DHP 252	malavaggo	sudassaṃ vajjam’aññesaṃ, attano pana duddasaṃ. <br/>paresaṃ hi so vajjāni, <b>opunāti</b> yathā bhusaṃ. <br/>attano pana chādeti, kaliṃ’va kitavā saṭho.														opun	āti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=opunāti"">feedback</a>"
ohārī	p	adj		oharati					heavy; dragging down; weighing down			√har 1 a (to carry)		ava + √har > hār + *ī	avahārin	√hṛ				DHP 346	taṇhāvaggo	etaṃ daḷhaṃ bandhanam'āhu dhīrā, <b>ohārinaṃ</b> sithilaṃ duppamuñcaṃ,<br/>etam'pi chetvāna paribbajanti, anapekkhino kāmasukhaṃ pahāya.														ohār	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ohārī"">feedback</a>"
kaṅkhā	p	fem	abstr	kaṅkhati					doubt; uncertainty; perplexity			√kakh 2 ṃa (to doubt)	√kakh + ṃa > kaṅkha	kaṅkha + ā	kāṅkṣā	√śaṅk				DHP 141	daṇḍavaggo	na naggacariyā na jaṭā na paṅkā, n'ānāsakā thaṇḍilasāyikā vā,<br/>rajojallaṃ ukkuṭikappadhānaṃ, sodhenti maccaṃ avitiṇṇa-<b>kaṅkhaṃ</b>.														kaṅkh	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṅkhā"">feedback</a>"
kaṭukapphala 1	p	adj	comp						with painful results; with bitter fruit					kaṭuka + phala	kaṭuka + phala					DHP 66	bālavaggo	caranti bālā dummedhā, amitten'eva attanā,<br/>karontā pāpakaṃ kammaṃ, yaṃ hoti <b>kaṭukapphalaṃ</b>.														kaṭukapphal	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṭukapphala 1"">feedback</a>"
kaṭukabhedana	p	adj	comp						(of an elephant in rut) releasing pungent excretion; lit. breaking of pungent fluid					kaṭuka + bhedana	kaṭuka + bhedana		kaṭukappabhedana			DHP 324	nāgavaggo	dhanapālo nāma kuñjaro, <b>kaṭukabhedano</b> dunnivārayo,<br/>baddho kabaḷaṃ na bhuñjati, sumarati nāgavanassa kuñjaro.														kaṭukabhedan	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṭukabhedana"">feedback</a>"
kaṭuka 5	p	nt		kaṭu					(of an elephant in rut) pungent excretion					kaṭu + ka	kaṭuka					DHP 324	nāgavaggo	dhanapālo nāma kuñjaro, <b>kaṭuka</b>-bhedano dunnivārayo,<br/>baddho kabaḷaṃ na bhuñjati, sumarati nāgavanassa kuñjaro.														kaṭuk	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṭuka 5"">feedback</a>"
kaṭṭhaka	p	masc		kaṭṭha					bamboo; kind of reed					kaṭṭha + ka	kāṣṭhaka					DHP 164	attavaggo	yo sāsanaṃ arahataṃ, ariyānaṃ dhammajīvinaṃ,<br/>paṭikkosati dummedho, diṭṭhiṃ nissāya pāpikaṃ,<br/>phalāni <b>kaṭṭhakass</b>'eva, attaghātāya phallati.														kaṭṭhak	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṭṭhaka"">feedback</a>"
katapuñña	pp	adj	comp						who has made merit					kata + puñña	kṛtapuṇya					DHP 16	yamakavaggo	idha modati pecca modati, <b>katapuñño</b> ubhay'attha modati,<br/>so modati so pamodati, disvā kammavisuddhim'attano.	DHP 220	piyavaggo	tath'eva <b>katapuññam</b>'pi, asmā lokā paraṃ gataṃ,<br/>puññāni paṭigaṇhanti, piyaṃ ñātī'va āgataṃ.											katapuññ	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=katapuñña"">feedback</a>"
kata 2	p	nt	pp	karoti					something done; performed action			√kar 7 o (to do, make)		√kar + ta	kṛta	√kṛ				DHP 50	pupphavaggo	na paresaṃ vilomāni, na paresaṃ kat'ākataṃ,<br/>attano'va avekkheyya, <b>katāni</b> akatāni ca.														kat	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kata 2"">feedback</a>"
kata 3	p	pp		karoti				+gen	made (of); built (of)			√kar 7 o (to do, make)		√kar + ta	kṛta	√kṛ				DHP 150	jarāvaggo	aṭṭhīnaṃ nagaraṃ <b>kataṃ</b>, maṃsalohita-lepanaṃ,<br/>yattha jarā ca maccu ca, māno makkho ca ohito.			’											kat	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kata 3"">feedback</a>"
katākata 1	p	nt	comp					+gen	commissions and omissions (of); what done and not done (by)					kata + akata	kṛta + akṛta					DHP 50	pupphavaggo	na paresaṃ vilomāni, na paresaṃ <b>kat'ākataṃ</b>,<br/>attano'va avekkheyya, katāni akatāni ca.														katākat	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=katākata 1"">feedback</a>"
kattabba 1	p	ptp		karoti				+instr	should be done (by); to be done (by); can be made (by)			√kar 7 o (to do, make)		√kar + tabba	kartavya	√kṛ				DHP 53	pupphavaggo	yathā'pi puppharāsimhā, kayirā mālāguṇe bahū,<br/>evaṃ jātena maccena, <b>kattabbaṃ</b> kusalaṃ bahuṃ.														kattabb	a ptp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kattabba 1"">feedback</a>"
katvā	ps	abs		karoti			trans	+acc	having done; having made			√kar 7 o (to do, make)		√kar + tvā	kṛtvā	√kṛ				DHP 130	daṇḍavaggo	sabbe tasanti daṇḍassa, sabbesaṃ jīvitaṃ piyaṃ.<br/>attānaṃ upamaṃ <b>katvā</b>, na haneyya na ghātaye.	SN 2.8	tāyanasuttaṃ	akataṃ dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ, <br/>katañ’ca sukataṃ seyyo, yaṃ <b>katvā</b> n’ānutappati.	Tāyana-gāthā	On Protection	Verses							14n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=katvā"">feedback</a>"
kadariya 1	p	adj		ariya					miserly; stingy; niggardly; lit. not noble					kad + ariya	kadarya			(SNa) kadariyā'ti idaṃ maccharino'ti padass'eva vevacanaṃ. mudukam'pi hi macchariyaṃ macchariyan't'eva vuccati, thaddhaṃ pana kadariyaṃ nāma.		DHP 177	lokavaggo	na ve <b>kadariyā</b> devalokaṃ vajanti, bālā have nappasaṃsanti dānaṃ,<br/>dhīro ca dānaṃ anumodamāno, ten'eva so hoti sukhī parattha.														kadariy	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kadariya 1"">feedback</a>"
kadariya 2	p	nt	abstr	ariya					miserliness; stinginess; tight-fistedness; lit. not nobility					kad + ariya	kadarya					DHP 223	kodhavaggo	akkodhena jine kodhaṃ, asādhuṃ sādhunā jine,<br/>jine <b>kadariyaṃ</b> dānena, saccen'ālikavādinaṃ.														kadariy	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kadariya 2"">feedback</a>"
kaddama 1	p	masc							mud; mire; filth						kardama					DHP 95	arahantavaggo	pathavisamo no virujjhati, indakhīl'ūpamo tādi subbato,<br/>rahado'va apeta-<b>kaddamo</b>, saṃsārā na bhavanti tādino.														kaddam	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaddama 1"">feedback</a>"
kantana 1	p	nt	act	kantati					cutting out; excision; surgical removal			√kat 2 ṃa (to cut)	√kat + ṃa > kanta	kanta + ana	kartana	√kṛt	santhana, satthana			DHP 275	maggavaggo	etañ'hi tumhe paṭipannā, dukkhass'antaṃ karissatha,<br/>akkhāto vo mayā maggo, aññāya salla-<b>kantanaṃ</b>.														kantan	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kantana 1"">feedback</a>"
kandi	p	aor		kandati			intrans		cried; wept; wailed			√kand 1 a (to wail, cry out)		√kand + i	akrandīt	√krand √kand				DHP 371	bhikkhuvaggo	jhāya bhikkhu mā pamādo, mā te kāmaguṇe ramessu cittaṃ,<br/>mā lohaguḷaṃ gilī pamatto, mā <b>kandi</b> dukkham'idan'ti ḍayhamāno.														kand	i aor	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kandi"">feedback</a>"
kammakiliṭṭhamattano	p	sandhi	nt + adj + masc						one’s own dirty deeds; one’s own corrupt actions					kamma + kiliṭṭhaṃ + attano	karman + kliṣṭa + ātmanaḥ					DHP 15	yamakavaggo	idha socati pecca socati, pāpakārī ubhay'attha socati,<br/>so socati so vihaññati, disvā <b>kammakiliṭṭham'attano</b>.														!	kamma kiliṭṭha attano	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammakiliṭṭhamattano"">feedback</a>"
kammapatha	p	masc	comp						course of action; mode of action; path of action					kamma + patha	karmapatha			(MNa) kammaṃ etesaṃ paṭisaraṇaṃ patiṭṭhā'ti kammapaṭisaraṇā.		DHP 281	maggavaggo	vāc'ānurakkhī manasā susaṃvuto, kāyena ca n'ākusalaṃ kayirā,<br/>ete tayo <b>kammapathe</b> visodhaye, ārādhaye maggam'isippaveditaṃ.														kammapath	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammapatha"">feedback</a>"
kammavisuddhimattano	p	sandhi	nt + adj + masc						one’s own pure deeds					kamma + visuddhiṃ + attano	karman + viśuddhi + ātmanaḥ					DHP 16	yamakavaggo	idha modati pecca modati, katapuñño ubhay'attha modati,<br/>so modati so pamodati, disvā <b>kammavisuddhim'attano</b>.														!	kamma visuddhiṃ attano	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammavisuddhimattano"">feedback</a>"
kamma 3	p	nt	nom sg	kamma					action; deed; work (subject)			√kar 7 o (to do, make)		√kar + ma	karman	√kṛ	kammaṃ			DHP 96	arahantavaggo	santaṃ tassa manaṃ hoti,<br/>santā vācā ca <b>kamma</b> ca,<br/>samma'd'aññā vimuttassa,<br/>upasantassa tādino.														*	kamma nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kamma 3"">feedback</a>"
kamma 4	p	nt	acc sg	kamma					action; deed; work (object)			√kar 7 o (to do, make)		√kar + ma	karman	√kṛ	kammaṃ			DHP 217	piyavaggo	sīladassanasampannaṃ, dhammaṭṭhaṃ saccavedinaṃ,<br/>attano <b>kamma</b> kubbānaṃ, taṃ jano kurute piyaṃ.														*	kamma nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kamma 4"">feedback</a>"
kammāra	p	masc		kamma					smith; metal worker			√kar 7 o (to do, make)		√kar + ma + āra	kammāra	√kṛ				DHP 239	malavaggo	anupubbena medhāvī, thokaṃ thokaṃ khaṇe khaṇe. <br/><b>kammāro</b> rajatass’eva, niddhame malam’attano.														kammār	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammāra"">feedback</a>"
kammī	p	masc	agent, in comps	kamma					doer; maker; performer of an action			√kar 7 o (to do, make)		√kar + ma + ī<br/>kamma + ī	karmin	√kṛ				DHP 126	pāpavaggo	gabbham'eke uppajjanti, nirayaṃ pāpa-<b>kammino</b>,<br/>saggaṃ sugatino yanti, parinibbanti anāsavā.														kamm	ī masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammī"">feedback</a>"
kayirati	p	pr		karoti		pass	intrans		is done; is made; is performed			√kar 7 iya (to do, make)	√kar + iya > kariya > kayira (pass)	kayira + ti	kṛ	√kṛ				DHP 292	pakiṇṇakavaggo	yañ'hi kiccaṃ apaviddhaṃ, akiccaṃ pana <b>kayirati</b>,<br/>unnaḷānaṃ pamattānaṃ, tesaṃ vaḍḍhanti āsavā.														kayir	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kayirati"">feedback</a>"
kayirātha	ps	opt	reflx 3rd sg	karoti			trans	+acc	one oneself should make			√kar 7 o (to do, make)	√kar + yira > kayira (irreg)	kayira + etha	kuryeta	√kṛ				DHP 118	pāpavaggo	puññañ’ce puriso kayirā,  <b>kayirāth’</b>enaṃ punappunaṃ.<br/>tamhi chandaṃ <b>kayirātha</b>, sukho puññassa uccayo. 	SN 2.8	tāyanasuttaṃ	kayirā ce, <b>kayirāth</b>’enaṃ, daḷham’enaṃ parakkame. <br/>sithilo hi paribbājo, bhiyyo ākirate rajaṃ.	Tāyana-gāthā	On Protection	Verses							14n	!*	karoti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kayirātha"">feedback</a>"
karanta	p	prp		karoti			trans	+acc	doing; making			√kar 7 o (to do, make)		√kar + anta	karaṇa	√kṛ				DHP 136	daṇḍavaggo	atha pāpāni kammāni, <b>karaṃ</b> bālo na bujjhati. <br/>sehi kammehi dummedho, aggi-daḍḍho’va tappati.														kar	anta prp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=karanta"">feedback</a>"
kali 1	p	masc							disaster; bad luck; lit. unlucky dice						kali					DHP 252	malavaggo	sudassaṃ vajjam’aññesaṃ, attano pana duddasaṃ. <br/>paresaṃ hi so vajjāni, opunāti yathā bhusaṃ. <br/>attano pana chādeti, <b>kaliṃ</b>’va kitavā saṭho.														kal	i masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kali 1"">feedback</a>"
kali 2	p	masc	abstr						fault; evil; badness; wrongness						kali					DHP 202	sukhavaggo	n'atthi rāgasamo aggi, n'atthi dosasamo <b>kali</b>,<br/>n'atthi khandhasamā dukkhā, n'atthi santiparaṃ sukhaṃ.														kal	i masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kali 2"">feedback</a>"
kalyāṇa 3	p	nt	abstr						goodness; good deed; virtue; merit; benefit; quality						kalyāṇa					DHP 116	pāpavaggo	abhittharetha <b>kalyāṇe</b>, pāpā cittaṃ nivāraye,<br/>dandhañ'hi karoto puññaṃ, pāpasmiṃ ramatī mano.														kalyāṇ	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kalyāṇa 3"">feedback</a>"
kasā	pp	fem							whip; crop; lash						kaśa					DHP 143	daṇḍavaggo	hirīnisedho puriso, koci lokasmi vijjati,<br/>yo nindaṃ apabodheti, asso bhadro <b>kasām</b>'iva.	DHP 144	daṇḍavaggo	asso yathā bhadro <b>kasā</b>-niviṭṭho, ātāpino saṃvegino bhavātha,<br/>saddhāya sīlena ca vīriyena ca, samādhinā dhammavinicchayena ca											kas	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kasā"">feedback</a>"
