Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
amu	pron	base						that; such (person or place or thing); so and so						amu					MN 36	mahāsaccakasuttaṃ	 taṃ kiṃ maññasi, api nu so puriso <b>amuṃ</b> allaṃ kaṭṭhaṃ sasnehaṃ, udake nikkhittaṃ, uttar’āraṇiṃ ādāya abhimanthento aggiṃ abhinibbatteyya, tejo pātukareyyā”ti?				MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra akkhātā imesaṃ bhedāya, amutra vā sutvā na imesaṃ akkhātā <b>amūsaṃ</b> bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings	MN 39	mahāassapurasuttaṃ	ahaṃ kho sakamhā gāmā <b>amuṃ</b> gāmaṃ agacchiṃ				18n	55	[sound:amu.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=amu&entry.1433863141=Anki"">Fix it here</a>."	4897	 Anupubba-sikkhā 
na sukaraṃ	idiom	ind + adj		neg	impers			it is not easy (to); not easy to do						na + sukara					TH 257	pārāpariyattheragāthā	“evaṃ nāna-ppayātamhi, <b>na</b> dāni <b>sukaraṃ</b> tathā.<br/>a’phusitaṃ vā phusituṃ, phusitaṃ v’ānurakkhituṃ.				AN 5.54	samayasuttaṃ	puna caparaṃ, bhikkhave, dubbhikkhaṃ hoti dussassaṃ dullabhapiṇḍaṃ, <b>na sukaraṃ</b> uñchena paggahena yāpetuṃ. ayaṃ, bhikkhave, tatiyo asamayo padhānāya.				MN 27	cūḷahatthipadopamasuttaṃ	<b>na</b>’y’idaṃ <b>sukaraṃ</b> agāraṃ ajjhāvasatā ek’antaparipuṇṇaṃ ek’antaparisuddhaṃ saṅkhalikhitaṃ brahmacariyaṃ carituṃ.	Anupubba-sikkhā	The Gradual Training	Teachings	18n	55	[sound:na sukaraṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=na sukaraṃ&entry.1433863141=Anki"">Fix it here</a>."	34717	  Anupubba-sikkhā
sīha 1	masc							lion						siṃha					SN 1.30	eṇijaṅghasuttaṃ	eṇijaṅghaṃ kisaṃ vīraṃ, app'āhāraṃ alolupaṃ,<br/><b>sīhaṃ</b> v'ekacaraṃ nāgaṃ, kāmesu anapekkhinaṃ,<br/>upasaṅkamma pucchāma, kathaṃ dukkhā pamucca				MN 107	gaṇakamoggallānasuttaṃ	rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena <b>sīha-</b>seyyaṃ kappeyyāsi pāde pādaṃ accādhāya sato sampajāno uṭṭhānasaññaṃ manasikaritvā	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:sīha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sīha 1&entry.1433863141=Anki"">Fix it here</a>."	55816	 Anupubba-sikkhā 
uṭṭhāna 1	nt		uṭṭhahati					rising; waking up			√ṭhā 1 a (to stand)		ud + √ṭhā + na	utthāna	√sthā				DHP 280	maggavaggo	<b>uṭṭhāna</b>-kālamhi anuṭṭhahāno, yuvā balī ālasiyaṃ upeto,<br/>saṃsannasaṅkappamano kusīto, paññāya maggaṃ alaso na vindati.				MN 107	gaṇakamoggallānasuttaṃ	rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena sīhaseyyaṃ kappeyyāsi pāde pādaṃ accādhāya sato sampajāno <b>uṭṭhāna-</b>saññaṃ manasikaritvā	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:uṭṭhāna.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uṭṭhāna 1&entry.1433863141=Anki"">Fix it here</a>."	64041	 Anupubba-sikkhā 
saññā 2	fem		sañjānāti					name; label; concept; idea; notion; impression; representation; symbol			√ñā 5 nā (to know)		saṃ + √ñā + ā	saṃjñā	√jñā										MN 107	gaṇakamoggallānasuttaṃ	rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena sīhaseyyaṃ kappeyyāsi pāde pādaṃ accādhāya sato sampajāno uṭṭhāna<b>-saññaṃ</b> manasikaritvā	Anupubba-sikkhā	The Gradual Training	Teachings	SNP 8	mettasuttaṃ<br/>uragavaggo	na paro paraṃ nikubbetha,  n’ātimaññetha katthaci naṃ kañci  <br/>byārosanā, paṭigha-<b>saññā</b>, n’āññam’aññassa  dukkham’iccheyya.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	18n	55	[sound:saññā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saññā 2&entry.1433863141=Anki"">Fix it here</a>."	53826	 Anupubba-sikkhā Karaṇīya-metta-sutta
anupubba	adj	comp						gradual; step-by-step					anu + pubba	anupūrva											MN 107	gaṇakamoggallānasuttaṃ	sakkā nu kho, bho gotama, imasmim’pi dhammavinaye evam’eva <b>anupubba</b>-sikkhā <b>anupubba</b>-kiriyā <b>anupubba</b>-paṭipadā paññapetun’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:anupubba.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anupubba&entry.1433863141=Anki"">Fix it here</a>."	7444	 Anupubba-sikkhā 
anupubbasikkhā	fem	comp						gradual training; practice step-by-step					anupubba + sikkhā												MN 107	gaṇakamoggallānasuttaṃ	sakkā nu kho, bho gotama, imasmim’pi dhammavinaye evam’eva <b>anupubbasikkhā</b> anupubbakiriyā anupubbapaṭipadā paññapetun’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:anupubbasikkhā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anupubbasikkhā&entry.1433863141=Anki"">Fix it here</a>."	7459	 Anupubba-sikkhā 
sikkhā 2	fem		sikkhati					training; practice			√sikkh 1 a (to learn, train)		√sikkh + ā	śikṣā	√śikṣ										MN 107	gaṇakamoggallānasuttaṃ	sakkā nu kho, bho gotama, imasmim’pi dhammavinaye evam’eva anupubba-<b>sikkhā</b> anupubbakiriyā anupubbapaṭipadā paññapetun’ti	Anupubba-sikkhā	The Gradual Training	Teachings	VIN PAT PA 1	methunadhamma sikkhāpada	yo pana bhikkhu, bhikkhūnaṃ<b> sikkhā</b>-sājīva-samāpanno, <b>sikkhaṃ </b>appaccakkhāya dubbalyaṃ anāvikatvā, methunaṃ dhammaṃ patiseveyya, antamaso tiracchānagatāya'pi, pārājiko hoti asaṃvāso.				18n	55	[sound:sikkhā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sikkhā 2&entry.1433863141=Anki"">Fix it here</a>."	55901	 Anupubba-sikkhā 
kiriyā 1	fem	in comps						action; activity; deed; performance; process			√kar 7 o (to do, make)		√kar + iyā	kriyā	√kṛ				SN 3.17	appamādasuttaṃ	appamādaṃ pasaṃsanti, puñña-<b>kiriyāsu</b> paṇḍitā.<br/>appamatto ubho atthe, adhiggaṇhāti paṇḍito.				MN 107	gaṇakamoggallānasuttaṃ	sakkā nu kho, bho gotama, imasmim’pi dhammavinaye evam’eva anupubbasikkhā anupubba-<b>kiriyā</b> anupubbapaṭipadā paññapetun’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kiriyā 1&entry.1433863141=Anki"">Fix it here</a>."	29807	 Anupubba-sikkhā 
imasmimpi	sandhi	pron + ind						and in this					imasmiṃ + api	asmin + api											MN 107	gaṇakamoggallānasuttaṃ	sakkā nu kho, bho gotama,<b> imasmim’pi</b> dhammavinaye evam’eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetun’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imasmimpi&entry.1433863141=Anki"">Fix it here</a>."	71017	 Anupubba-sikkhā 
bhūta 2	adj	pp	bhavati					true; correct; accurate; lit. what is			√bhū 1 a (to be)		√bhū + ta	bhūta	√bhū				MN 139	araṇavibhaṅgasuttaṃ	yam’pi jaññā rahovādaṃ <b>bhūtaṃ</b> tacchaṃ anatthasaṃhitaṃ tass’api sikkheyya avacanāya.				MN 51	kandarakasuttaṃ	samphappalāpaṃ pahāya samphappalāpā paṭivirato hoti kālavādī <b>bhūta</b>-vādī atthavādī dhammavādī vinayavādī, nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ atthasaṃhitaṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhūta 2&entry.1433863141=Anki"">Fix it here</a>."	14873	 Anupubba-sikkhā 
sāpadesa	adj		apadesa					with reason; reasonable; with valid ground			√dis 1 a (to point out, explain)		sa + apa + √dis > des + *a	sa + apadeśa	√diś										MN 51	kandarakasuttaṃ	samphappalāpaṃ pahāya samphappalāpā paṭivirato hoti kālavādī bhūtavādī atthavādī dhammavādī vinayavādī, nidhānavatiṃ vācaṃ bhāsitā kālena <b>sāpadesaṃ</b> pariyantavatiṃ atthasaṃhitaṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sāpadesa&entry.1433863141=Anki"">Fix it here</a>."	54299	 Anupubba-sikkhā 
pariyantavant	adj		pariyanta					moderate; restricted; within limits; lit. having limit					pari + [y] + anta + vant	paryantavat				pariyantavatiṃ – f.acc.sg							MN 51	kandarakasuttaṃ	samphappalāpaṃ pahāya samphappalāpā paṭivirato hoti kālavādī bhūtavādī atthavādī dhammavādī vinayavādī, nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ <b>pariyantavatiṃ</b> atthasaṃhitaṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pariyantavant&entry.1433863141=Anki"">Fix it here</a>."	43580	 Anupubba-sikkhā 
atthasaṃhita	adj	comp						profitable; meaningful; beneficial; lit. connected with good					attha + saṃhita	artha + saṃhita		atthasañhita			MN 139	araṇavibhaṅgasuttaṃ	yañ’ca kho jaññā rahovādaṃ bhūtaṃ tacchaṃ <b>atthasaṃhitaṃ</b> tatra kālaññū assa tassa rahovādassa vacanāya.				MN 51	kandarakasuttaṃ	samphappalāpaṃ pahāya samphappalāpā paṭivirato hoti kālavādī bhūtavādī atthavādī dhammavādī vinayavādī, nidhānavatiṃ vācaṃ bhāsitā kālena sāpadesaṃ pariyantavatiṃ <b>atthasaṃhitaṃ</b>	Anupubba-sikkhā	The Gradual Training	Teachings	AN 5.198	vācāsuttaṃ	kālena ca bhāsitā hoti, saccā ca bhāsitā hoti, saṇhā ca bhāsitā hoti, <b>atthasaṃhitā</b> ca bhāsitā hoti, mettacittena ca bhāsitā hoti.				18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atthasaṃhita&entry.1433863141=Anki"">Fix it here</a>."	11685	 Anupubba-sikkhā 
nāma 1	ind	emph						certainly; truly; for sure						nāma					SN 35.95	mālukyaputtasuttaṃ	ettha dāni, māluṅkyaputta, kiṃ dahare bhikkhū vakkhāma yatra hi <b>nāma</b> tvaṃ, bhikkhu, jiṇṇo vuddho mah’allako addhagato vayoanuppatto saṃkhittena ovādaṃ yācasī’ti.				MN 51	kandarakasuttaṃ	seyyathā’pi <b>nāma</b> pakkhī sakuṇo yena yen'eva ḍeti, sapattabhārova ḍeti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:nāma.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nāma 1&entry.1433863141=Anki"">Fix it here</a>."	35182	 Anupubba-sikkhā 
āṇaṇya	nt	abstr	anaṇa					freedom from debt; being debt-free; being out of debt					an + iṇa + *ya	ānṛṇya											MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, <b>āṇaṇyaṃ</b> yathā ārogyaṃ yathā bandhanāmokkhaṃ yathā bhujissaṃ yathā khem’antabhūmiṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āṇaṇya&entry.1433863141=Anki"">Fix it here</a>."	5347	 Anupubba-sikkhā 
ārogya 1	nt	abstr	na aroga	neg				health; freedom from disease			√ruj 1 a (to hurt, be painful)		na > ā + √ruj > rog + *a + *ya	ārogya	√ruj				AN 5.57	abhiṇhapaccavekkhitabbaṭhānasuttaṃ	tassa taṃ ṭhānaṃ abhiṇhaṃ paccavekkhato yo <b>ārogye</b> ārogyamado so sabbaso vā pahīyati tanu vā pana hoti. idaṃ kho, bhikkhave, atthavasaṃ paṭicca ‘byādhidhammo'mhi, byādhiṃ anatīto’ti				MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā <b>ārogyaṃ</b> yathā bandhanāmokkhaṃ yathā bhujissaṃ yathā khem’antabhūmiṃ	Anupubba-sikkhā	The Gradual Training	Teachings	MN 75	māgaṇḍiyasuttaṃ	evam'eva kho, māgaṇḍiya, aññatitthiyā paribbājakā andhā acakkhukā ajānantā <b>ārogyaṃ</b>, apassantā nibbānaṃ, atha ca pan'imaṃ gāthaṃ bhāsanti				18n	55	[sound:ārogya.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ārogya 1&entry.1433863141=Anki"">Fix it here</a>."	9658	 Anupubba-sikkhā 
bandhanāmokkha	masc	comp						release from imprisonment; emancipation from captivity					bandhanā + mokkha	bandhanāt + mokṣa											MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā ārogyaṃ yathā <b>bandhanāmokkhaṃ</b> yathā bhujissaṃ yathā khem’antabhūmiṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bandhanāmokkha&entry.1433863141=Anki"">Fix it here</a>."	13553	 Anupubba-sikkhā 
mokkha 1	masc							release; freedom			√mokkh 1 a (to be freed)		√mokkh + a	mokṣa	√mokṣ										MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā ārogyaṃ yathā bandhanā-<b>mokkhaṃ</b> yathā bhujissaṃ yathā khem’antabhūmiṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mokkha 1&entry.1433863141=Anki"">Fix it here</a>."	34234	 Anupubba-sikkhā 
bhujissa 2	masc							freed slave; free man						bhujiṣya					MN 39	mahāassapurasuttaṃ	seyyathā’pi puriso dāso assa anatt’ādhīno par’ādhīno na yenakāmaṃgamo. so aparena samayena tamhā dāsabyā mucceyya attādhīno aparādhīno <b>bhujisso</b> yenakāmaṃgamo.				MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā ārogyaṃ yathā bandhanāmokkhaṃ yathā <b>bhujissaṃ</b> yathā khem’antabhūmiṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:bhujissa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhujissa 2&entry.1433863141=Anki"">Fix it here</a>."	14748	 Anupubba-sikkhā 
khemanta	masc	comp						safety; security; sanctuary; peace; rest; lit. safe end					khema + anta												MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā ārogyaṃ yathā bandhanāmokkhaṃ yathā bhujissaṃ yathā <b>khem’anta-</b>bhūmiṃ	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=khemanta&entry.1433863141=Anki"">Fix it here</a>."	29123	 Anupubba-sikkhā 
khemantabhūmi	fem	comp						place of rest; safe place; peaceful land; sanctuary					khemanta + bhūmī	kṣemabhūmi											MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā ārogyaṃ yathā bandhanāmokkhaṃ yathā bhujissaṃ yathā <b>khem’antabhūmiṃ</b>	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=khemantabhūmi&entry.1433863141=Anki"">Fix it here</a>."	29124	 Anupubba-sikkhā 
bhūmi 2	fem							land; region; area			√bhū 1 a (to be)		√bhū + mi	bhūmi	√bhū				SN 11.15	rāmaṇeyyakasuttaṃ	gāme vā yadi v’āraññe, ninne vā yadi vā thale.<br/>yattha arahanto viharanti, taṃ <b>bhūmi</b>-rāmaṇeyyakan”ti. 				MN 39	mahāassapurasuttaṃ	seyyathā’pi, bhikkhave, āṇaṇyaṃ yathā ārogyaṃ yathā bandhanāmokkhaṃ yathā bhujissaṃ yathā khem’anta-<b>bhūmiṃ</b>	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:bhūmi.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhūmi 2&entry.1433863141=Anki"">Fix it here</a>."	14765	 Anupubba-sikkhā 
aparena samayena 1	idiom	pron + masc						at another time; later; lit. by another occasion																	MN 27	cūḷahatthipadopamasuttaṃ	so <b>aparena samayena</b> appaṃ vā bhogakkhandhaṃ pahāya mahantaṃ vā bhogakkhandhaṃ pahāya appaṃ vā ñātiparivaṭṭaṃ pahāya mahantaṃ vā ñātiparivaṭṭaṃ pahāya 	Anupubba-sikkhā	The Gradual Training	Teachings	MN 39	mahāassapurasuttaṃ	seyyathā’pi puriso ābādhiko assa dukkhito bāḷha-gilāno, bhattañ’ca’ssa nacchādeyya, na c’assa kāye bala-mattā. so <b>aparena</b> <b>samayena</b> tamhā ābādhā mucceyya				18n	55	[sound:aparena samayena.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aparena samayena 1&entry.1433863141=Anki"">Fix it here</a>."	8428	 Anupubba-sikkhā 
bījagāma	masc	comp						seeds; lit. seed class; seed sort					bīja + gāma	bīja + grāma											MN 51	kandarakasuttaṃ	so <b>bījagāma</b>-bhūtagāma-samārambhā paṭivirato hoti, ekabhattiko hoti ratt’ūparato virato vikālabhojanā	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bījagāma&entry.1433863141=Anki"">Fix it here</a>."	14945	 Anupubba-sikkhā 
bījagāmabhūtagāma	masc	comp						seeds and plants					bījagāma + bhūtagāma	bīja + grāma + bhūtagrāma					MN 35	cūḷasaccakasuttaṃ	seyyathā'pi, bho gotama, ye kec'ime <b>bījagāmabhūtagāmā</b> vuddhiṃ virūḷhiṃ vepullaṃ āpajjanti, sabbe te pathaviṃ nissāya pathaviyaṃ patiṭṭhāya. evam'ete <b>bījagāmabhūtagāmā</b> vuddhiṃ virūḷhiṃ vepullaṃ āpajjanti.				MN 51	kandarakasuttaṃ	so <b>bījagāmabhūtagāma</b>-samārambhā paṭivirato hoti, ekabhattiko hoti ratt’ūparato virato vikālabhojanā	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bījagāmabhūtagāma&entry.1433863141=Anki"">Fix it here</a>."	14946	 Anupubba-sikkhā 
bījagāmabhūtagāmasamārambha	masc	comp						injuring seeds and plants					bījagāma + bhūtagāma + samārambha	bīja + grāma + bhūtagrāma + samālambha			(MNa) <b>bījagāmabhūtagāmasamārambhā</b>'ti mūlabījaṃ khandhabījaṃ phaḷubījaṃ aggabījaṃ bījabījanti pañcavidhassa bījagāmassa c'eva yassa kassaci nīlatiṇarukkh'ādikassa bhūtagāmassa ca samārambhā, chedana-bhedana-pacan'ādibhāvena vikopanā paṭivirato'ti attho.								MN 51	kandarakasuttaṃ	so <b>bījagāmabhūtagāmasamārambhā</b> paṭivirato hoti, ekabhattiko hoti ratt’ūparato virato vikālabhojanā	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bījagāmabhūtagāmasamārambha&entry.1433863141=Anki"">Fix it here</a>."	14947	 Anupubba-sikkhā 
ime	pron	masc nom & acc pl	ima					these					ima + e	ime, imān					AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca, bhikkhave, <b>ime</b> satta aparihāniyā dhammā bhikkhūsu ṭhassanti, imesu ca sattasu aparihāniyesu dhammesu bhikkhū sandississanti;				MN 39	mahāassapurasuttaṃ	so <b>ime</b> pañca nīvaraṇe pahāya cetaso upakkilese paññāya dubbalīkaraṇe	Anupubba-sikkhā	The Gradual Training	Teachings	DN 22.5	mahāsatipaṭṭhānasuttaṃ	tam’enaṃ cakkhumā puriso muñcitvā paccavekkheyya — ‘<b>ime</b> sālī, <b>ime</b> vīhī <b>ime</b> muggā <b>ime</b> māsā <b>ime</b> tilā <b>ime</b> taṇḍulā’ti.				18n	55	[sound:ime.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ime&entry.1433863141=Anki"">Fix it here</a>."	24730	 Anupubba-sikkhā 
